contentSize,gender,titleCount,wasShared,imageLevel,relevancy,videos,isWeekend,browser,readTime,channels
84154,Male,3,yes,noImage,no,medium,no,firefox,3.8,sports
265477,Male,5,no,noImage,no,high,yes,firefox,4,entertainment
507875,Male,3,no,noImage,no,high,yes,firefox,4.3,sports
88506,Male,5,no,noImage,no,high,yes,firefox,4,entertainment
172987,Male,2,no,noImage,no,medium,yes,firefox,5,sports
94638,Female,5,no,noImage,yes,high,no,firefox,4,sports
289980,Male,3,no,noImage,yes,high,no,firefox,3.5,sports
337895,Male,6,yes,noImage,no,high,yes,edge,4,business
144361,Male,5,no,noImage,no,high,no,firefox,3.8,sports
128354,Female,4,no,noImage,yes,low,yes,firefox,4,sports
101603,Male,4,no,noImage,no,high,yes,firefox,4,business
271466,Male,3,no,noImage,yes,high,yes,firefox,4.3,sports
32275,Female,3,no,noImage,maybe,low,no,chrome,4,sports
226956,Female,2,no,noImage,yes,high,no,firefox,3,sports
51835,Female,5,yes,noImage,maybe,high,yes,firefox,6,sports
251585,Male,5,yes,noImage,yes,low,yes,firefox,5.5,business
109832,Male,5,no,noImage,yes,low,no,firefox,6,entertainment
237993,Male,4,yes,noImage,no,medium,no,firefox,4,sports
216666,Male,5,no,noImage,no,high,no,firefox,4,sports
56352,Male,4,no,noImage,no,high,yes,firefox,4,sports
147372,Male,4,no,noImage,no,high,no,firefox,4.8,sports
188146,Male,3,no,blurred,no,high,no,firefox,4,sports
59496,Male,3,no,blurred,no,medium,yes,firefox,4,sports
293936,Male,3,no,noImage,yes,high,no,firefox,4,lifestyle
149640,Male,5,no,noImage,no,high,no,firefox,4,sports
116632,Male,4,yes,noImage,no,high,yes,firefox,4.5,sports
105598,Male,3,no,noImage,yes,medium,no,firefox,5.8,sports
155537,Male,4,no,noImage,no,high,no,firefox,4,sports
183175,Female,3,no,noImage,yes,high,no,firefox,4,sports
169846,Female,5,yes,noImage,maybe,high,no,firefox,4,sports
191681,Male,5,yes,noImage,no,low,no,firefox,5,entertainment
200681,Male,3,no,noImage,yes,high,no,firefox,4,lifestyle
101509,Male,2,no,noImage,yes,high,no,firefox,3.2,sports
309974,Female,3,no,noImage,yes,medium,yes,edge,4,sports
162298,Male,3,yes,noImage,no,medium,yes,firefox,7,entertainment
211678,Male,2,no,noImage,yes,high,no,firefox,4,sports
124744,Male,8,no,noImage,yes,high,no,firefox,2,sports
213921,Male,3,no,noImage,yes,high,no,firefox,4,sports
32214,Male,4,no,noImage,no,high,yes,firefox,4,sports
212759,Male,7,no,noImage,no,high,yes,firefox,0.2,lifestyle
309634,Female,2,no,noImage,yes,high,yes,firefox,2.2,sports
125927,Male,3,no,noImage,no,high,no,firefox,4,news
446839,Male,2,no,noImage,yes,medium,no,firefox,3,sports
276515,Male,5,no,noImage,no,high,yes,firefox,4,sports
51618,Female,5,no,noImage,maybe,high,no,firefox,4,sports
159937,Male,6,no,noImage,no,medium,no,firefox,4.8,sports
343591,Female,4,yes,high,yes,high,no,firefox,4,sports
346253,Female,5,no,noImage,yes,medium,no,firefox,3.5,sports
268234,Male,5,yes,noImage,no,high,no,firefox,4,news
202051,Male,3,no,noImage,no,high,yes,firefox,5,sports
54334,Male,3,no,noImage,yes,medium,yes,firefox,4,sports
410867,Female,4,yes,noImage,yes,high,yes,firefox,5,business
249977,Male,6,no,noImage,no,high,yes,firefox,4,sports
286730,Female,4,no,noImage,yes,high,no,firefox,4,sports
212563,Female,3,no,noImage,yes,high,no,edge,2.5,sports
117747,Female,3,no,noImage,maybe,medium,no,opera,3.5,sports
226296,Male,3,yes,noImage,no,high,yes,firefox,4,news
115585,Male,3,no,noImage,yes,high,no,firefox,5,news
191277,Male,5,yes,noImage,no,high,yes,firefox,6,entertainment
202683,Male,4,yes,noImage,no,medium,no,firefox,4.8,sports
171095,Female,5,no,noImage,yes,low,yes,firefox,4,sports
249409,Male,3,no,noImage,yes,high,no,edge,4,business
124191,Male,8,yes,noImage,no,low,yes,firefox,4,sports
198282,Male,4,yes,high,no,low,yes,firefox,6,sports
149116,Female,5,no,noImage,yes,high,yes,firefox,5,entertainment
188300,Female,2,no,noImage,yes,medium,no,firefox,4,sports
103432,Male,3,no,noImage,yes,high,no,firefox,4,sports
317660,Male,3,yes,high,no,high,no,firefox,4,entertainment
304873,Female,2,no,high,yes,high,yes,firefox,3.2,lifestyle
194901,Male,3,no,noImage,yes,high,yes,firefox,4,sports
189265,Female,3,no,noImage,yes,high,no,firefox,4,news
124692,Male,4,no,noImage,no,high,no,firefox,4,sports
432376,Male,2,no,noImage,yes,medium,yes,firefox,4,sports
65324,Male,4,yes,noImage,no,high,yes,firefox,4,sports
335605,Male,6,yes,noImage,no,high,no,firefox,5,entertainment
377869,Female,3,no,blurred,maybe,medium,no,firefox,2.5,sports
102864,Female,4,no,noImage,yes,high,no,firefox,4,sports
95647,Male,5,no,noImage,no,high,yes,firefox,5,sports
303090,Male,6,no,noImage,no,medium,no,firefox,5,entertainment
197371,Male,5,yes,noImage,no,high,yes,edge,4,news
247552,Male,6,no,noImage,no,medium,no,firefox,5.6,sports
102632,Male,2,no,noImage,yes,high,no,firefox,4.1,sports
199915,Female,2,no,noImage,yes,high,no,firefox,4,sports
118853,Male,4,no,noImage,no,low,yes,firefox,6,sports
77143,Male,3,no,noImage,yes,low,yes,edge,4,sports
267989,Male,3,yes,noImage,no,high,yes,firefox,5,business
301606,Male,2,no,noImage,yes,high,no,edge,3.5,sports
287828,Female,5,yes,noImage,maybe,low,yes,firefox,4,sports
111697,Female,2,no,noImage,yes,high,no,firefox,2.8,sports
114937,Male,3,yes,noImage,no,high,yes,firefox,4,sports
129305,Male,4,no,noImage,no,high,no,firefox,4,lifestyle
365739,Male,4,no,noImage,yes,high,no,firefox,4,sports
69621,Female,3,no,noImage,yes,medium,yes,firefox,6,sports
43323,Female,2,no,noImage,yes,high,no,firefox,4,sports
120985,Male,4,no,blurred,no,high,no,firefox,3.5,entertainment
254202,Male,4,no,noImage,no,medium,yes,firefox,5,sports
146195,Female,5,no,noImage,yes,medium,yes,edge,3.6,sports
125933,Male,4,yes,noImage,no,high,yes,firefox,4,business
56920,Male,4,no,noImage,no,high,no,firefox,6,entertainment
163127,Female,3,no,noImage,maybe,high,yes,firefox,3.5,sports
34310,Male,2,no,noImage,yes,medium,no,firefox,2,sports
81973,Male,5,yes,noImage,no,high,no,opera,4,sports
66614,Male,6,no,noImage,no,high,no,firefox,4,entertainment
232782,Female,3,no,noImage,yes,medium,no,firefox,4,sports
316868,Male,2,no,noImage,yes,high,no,firefox,3,sports
196584,Female,5,yes,noImage,yes,high,yes,firefox,4,sports
105376,Male,7,no,noImage,yes,medium,no,firefox,4,sports
185814,Female,3,no,noImage,yes,high,no,edge,3,sports
175374,Male,2,no,noImage,no,high,no,firefox,2.4,sports
108293,Female,4,no,noImage,yes,high,no,firefox,2.4,sports
181232,Male,6,no,noImage,no,high,yes,firefox,4,sports
174662,Female,4,no,noImage,yes,high,no,firefox,4,lifestyle
186009,Female,5,no,noImage,yes,high,no,firefox,3.8,news
198183,Female,3,no,noImage,yes,high,no,firefox,4,sports
163003,Female,3,no,noImage,yes,low,yes,opera,4,sports
296158,Male,2,no,noImage,yes,high,no,firefox,3.5,sports
252903,Male,5,yes,noImage,yes,high,no,firefox,4.5,lifestyle
187715,Male,5,no,noImage,no,high,no,firefox,4.6,sports
214542,Male,2,no,noImage,yes,high,yes,firefox,4,sports
494223,Male,7,no,noImage,yes,medium,no,edge,0.2,entertainment
191535,Male,3,no,noImage,yes,high,no,firefox,6,sports
228456,Male,4,no,noImage,yes,high,yes,edge,5,sports
38317,Female,7,no,noImage,yes,high,no,firefox,2,lifestyle
252752,Female,3,no,noImage,yes,high,no,firefox,4,sports
78374,Female,4,no,noImage,yes,low,yes,opera,4,entertainment
88419,Female,3,no,noImage,yes,low,no,opera,4,sports
201080,Male,5,yes,noImage,no,medium,yes,firefox,4,entertainment
207157,Female,4,no,noImage,yes,high,no,firefox,4,sports
235485,Male,4,no,noImage,yes,low,yes,firefox,4.2,business
102628,Male,5,no,noImage,yes,high,yes,firefox,4,business
25828,Male,2,no,noImage,yes,high,yes,firefox,1.6,sports
54826,Female,7,no,noImage,yes,high,yes,firefox,2,news
124953,Male,3,no,noImage,yes,high,no,firefox,4,sports
175325,Male,3,no,noImage,no,high,no,firefox,4,business
96062,Male,5,yes,noImage,no,medium,no,firefox,4,sports
428030,Male,3,no,noImage,yes,high,yes,firefox,5,sports
149624,Male,3,yes,noImage,no,high,yes,firefox,4,business
253814,Female,3,no,noImage,yes,medium,no,firefox,2.5,sports
312956,Male,2,no,noImage,yes,high,no,edge,4,sports
483777,Male,3,no,noImage,yes,high,no,edge,4,sports
183930,Male,2,no,noImage,yes,high,no,firefox,1.2,sports
37274,Male,3,no,noImage,no,high,yes,firefox,6.5,sports
181344,Male,4,yes,noImage,no,low,no,edge,3.8,news
114580,Female,4,no,noImage,yes,high,no,firefox,4,sports
633742,Male,3,no,noImage,yes,high,no,edge,4.5,sports
286370,Male,4,yes,noImage,no,high,no,firefox,4,sports
29054,Male,4,yes,noImage,no,high,no,firefox,4.2,business
304030,Male,3,no,noImage,no,high,no,edge,4,sports
143129,Female,4,no,noImage,yes,low,yes,firefox,4,entertainment
135105,Female,5,no,noImage,yes,high,yes,firefox,5,lifestyle
99928,Female,3,no,noImage,maybe,high,yes,firefox,5,sports
109567,Male,6,yes,noImage,no,high,yes,firefox,0.1,business
155222,Female,4,no,noImage,yes,high,no,edge,2.8,sports
159567,Male,2,no,noImage,no,high,no,firefox,4,sports
523910,Male,4,no,noImage,no,high,yes,edge,4,news
120939,Male,5,no,noImage,no,medium,no,firefox,4.5,sports
130760,Male,4,no,noImage,no,medium,yes,firefox,2.4,business
197387,Male,2,no,noImage,yes,high,no,firefox,4,sports
99374,Male,4,no,noImage,yes,high,no,firefox,4,sports
56795,Female,4,yes,high,yes,low,yes,firefox,5.5,business
138992,Male,4,yes,high,yes,high,yes,firefox,4,sports
32921,Male,2,no,noImage,yes,medium,no,firefox,4,entertainment
397317,Female,3,no,noImage,yes,high,yes,firefox,4,sports
170653,Male,2,no,noImage,yes,high,no,firefox,4,lifestyle
259323,Male,5,yes,noImage,no,low,yes,firefox,5,sports
254817,Female,4,no,noImage,yes,high,no,firefox,4,news
48211,Female,4,no,noImage,yes,high,no,firefox,3.5,business
140164,Female,2,no,noImage,yes,medium,yes,firefox,4,sports
128757,Male,4,yes,high,no,high,yes,edge,3.6,sports
36270,Male,4,no,noImage,yes,high,no,firefox,6,sports
210563,Female,6,yes,high,maybe,medium,no,firefox,3.5,entertainment
65368,Female,2,no,noImage,yes,medium,yes,firefox,1.2,sports
160943,Male,4,no,noImage,no,high,no,edge,4,news
208358,Male,4,yes,noImage,no,high,no,firefox,4,sports
153790,Female,4,no,noImage,yes,medium,no,opera,4,sports
85815,Male,6,no,noImage,no,high,no,opera,4,sports
125417,Male,5,yes,noImage,no,high,no,firefox,4,entertainment
635913,Male,4,yes,noImage,yes,low,yes,edge,6,sports
313321,Female,5,no,noImage,yes,medium,yes,firefox,4,sports
182609,Male,4,no,noImage,no,medium,yes,firefox,5,sports
109434,Male,5,no,noImage,no,high,yes,firefox,5.5,sports
255004,Male,3,no,noImage,yes,high,yes,firefox,4,sports
197860,Male,3,no,noImage,no,high,no,firefox,4,sports
187656,Male,6,no,noImage,yes,high,no,firefox,4,lifestyle
51744,Male,9,no,noImage,yes,high,no,edge,4,sports
176681,Male,5,no,noImage,no,high,no,edge,2,sports
140359,Female,5,no,noImage,yes,high,no,firefox,3.5,news
243313,Female,2,no,noImage,yes,medium,no,firefox,4,sports
24215,Female,6,no,noImage,yes,high,yes,opera,1,lifestyle
167687,Male,7,no,blurred,no,high,no,firefox,5,entertainment
314209,Female,8,no,noImage,yes,high,yes,firefox,2,sports
176796,Female,7,no,noImage,yes,high,no,firefox,4,sports
538583,Male,4,no,blurred,yes,high,yes,edge,4,sports
130408,Female,4,no,noImage,yes,medium,no,edge,3.8,sports
159732,Male,3,no,noImage,yes,high,no,firefox,4.2,sports
110978,Female,3,no,noImage,yes,high,no,chrome,4,sports
76714,Male,3,yes,noImage,yes,high,yes,firefox,5.5,sports
268700,Male,6,no,noImage,no,high,no,firefox,4,business
170525,Female,4,no,noImage,yes,high,no,firefox,3.8,business
180138,Male,4,yes,noImage,no,low,yes,firefox,5,sports
115076,Male,4,yes,noImage,no,low,yes,firefox,7,news
115458,Male,2,no,noImage,yes,high,no,firefox,4,sports
347890,Male,4,yes,noImage,no,high,yes,firefox,4,sports
196001,Female,4,no,noImage,maybe,high,no,firefox,2,entertainment
273905,Male,2,no,noImage,no,high,yes,firefox,5,business
119156,Male,2,no,noImage,yes,high,no,firefox,2,lifestyle
179488,Male,4,no,noImage,yes,high,no,firefox,4,sports
203580,Male,6,no,noImage,no,high,no,firefox,3.5,sports
236596,Male,6,yes,noImage,no,high,no,firefox,4.5,sports
183916,Female,3,no,noImage,yes,high,no,firefox,3.4,sports
207578,Male,4,yes,noImage,no,medium,yes,firefox,6,sports
153141,Male,5,no,noImage,no,high,no,firefox,4,sports
112763,Female,4,yes,noImage,maybe,high,yes,firefox,4,sports
390781,Female,4,no,noImage,maybe,high,yes,edge,4,sports
171328,Female,6,no,noImage,yes,high,yes,edge,3,news
27382,Male,2,no,noImage,yes,high,no,firefox,4,news
259014,Male,6,no,noImage,yes,high,no,firefox,2,sports
303044,Male,4,yes,noImage,no,high,no,opera,4,entertainment
117789,Female,2,no,noImage,yes,high,no,firefox,4,sports
172579,Female,3,no,noImage,yes,high,no,firefox,3,sports
187666,Female,5,no,noImage,yes,low,yes,firefox,4.5,sports
204518,Male,5,no,noImage,yes,high,no,firefox,4,sports
150042,Female,4,no,noImage,yes,high,yes,firefox,4,sports
98092,Male,5,no,noImage,no,medium,no,firefox,6,sports
245918,Male,2,no,noImage,yes,high,yes,firefox,1.2,sports
146013,Male,6,no,blurred,no,medium,no,firefox,4,sports
378322,Male,3,no,noImage,no,high,yes,firefox,4,sports
257295,Male,4,yes,noImage,no,low,no,opera,7.5,entertainment
218956,Male,2,no,noImage,yes,high,no,firefox,2.4,lifestyle
21174,Male,6,yes,noImage,no,low,no,firefox,4,sports
185480,Female,3,no,noImage,yes,high,yes,firefox,4.5,sports
222205,Female,3,yes,noImage,maybe,high,no,firefox,4,sports
69867,Male,6,yes,noImage,no,low,no,firefox,4,sports
191260,Male,2,no,blurred,yes,high,yes,firefox,2.4,sports
30653,Male,5,no,blurred,no,high,yes,firefox,9.8,entertainment
209109,Male,3,no,noImage,yes,high,yes,firefox,3.5,news
70377,Female,3,no,noImage,yes,high,no,firefox,4,sports
477983,Male,4,no,noImage,no,high,no,edge,4,sports
170924,Male,4,yes,high,no,high,no,firefox,4,sports
190174,Female,4,no,noImage,yes,low,no,firefox,4,sports
193787,Female,3,no,noImage,yes,medium,no,firefox,4,sports
279472,Female,2,yes,high,maybe,high,no,firefox,4.8,sports
34918,Female,2,no,noImage,yes,high,yes,firefox,1.5,sports
97688,Male,4,yes,low,no,high,no,firefox,4,news
175413,Female,3,no,noImage,yes,medium,yes,edge,4.5,sports
173960,Female,6,no,noImage,yes,high,yes,firefox,4.2,sports
205759,Male,2,no,noImage,yes,high,no,firefox,4,sports
425161,Male,6,yes,high,no,medium,yes,firefox,4,business
220531,Male,4,yes,noImage,no,high,yes,firefox,6,sports
176609,Male,5,no,noImage,yes,high,no,firefox,4.5,sports
371987,Female,3,no,noImage,yes,low,yes,firefox,4,sports
193884,Male,5,no,noImage,no,high,no,firefox,4,sports
200352,Male,4,no,noImage,no,high,yes,firefox,4.5,sports
127595,Female,3,no,noImage,yes,high,no,firefox,4,sports
220419,Male,3,no,noImage,yes,high,yes,firefox,5.6,news
231931,Male,2,no,noImage,yes,medium,no,firefox,4.5,sports
248402,Female,3,no,noImage,yes,medium,yes,edge,4,sports
111095,Male,7,no,noImage,no,high,no,firefox,1.6,sports
57424,Female,4,no,noImage,yes,medium,yes,firefox,6,entertainment
157443,Female,4,no,blurred,maybe,high,yes,opera,4,lifestyle
278130,Male,2,no,noImage,yes,high,no,firefox,4,sports
169469,Male,4,no,noImage,yes,medium,no,firefox,8,sports
146268,Male,5,yes,high,no,high,yes,firefox,4,sports
153718,Female,2,no,noImage,yes,high,no,opera,2.5,sports
217460,Male,3,yes,noImage,no,high,no,firefox,4.5,sports
238638,Male,6,yes,blurred,no,medium,no,firefox,4,sports
303296,Female,2,no,noImage,maybe,high,no,opera,4,sports
173321,Female,4,no,noImage,yes,high,no,firefox,4,sports
193945,Male,3,no,noImage,yes,medium,yes,firefox,4.5,sports
83082,Female,5,no,noImage,yes,high,yes,firefox,3.3,sports
193815,Male,4,yes,noImage,no,high,yes,firefox,4,sports
34987,Male,4,yes,noImage,no,high,no,firefox,5.4,entertainment
59306,Male,3,no,noImage,yes,medium,yes,firefox,4,sports
142897,Male,3,yes,high,no,low,yes,opera,3.5,sports
860348,Female,2,no,noImage,yes,high,no,edge,2.5,lifestyle
205607,Female,4,yes,noImage,yes,high,yes,edge,4,entertainment
199698,Male,2,no,noImage,yes,medium,no,firefox,1.5,sports
191954,Male,2,no,noImage,yes,high,no,firefox,4,sports
138714,Male,8,no,noImage,no,medium,no,firefox,4,entertainment
399087,Female,2,no,noImage,yes,high,no,firefox,4,sports
423158,Female,3,no,noImage,yes,medium,no,firefox,4,sports
159841,Female,6,no,noImage,yes,high,no,firefox,2.4,sports
174308,Male,4,no,noImage,no,low,no,firefox,4,entertainment
50356,Male,4,no,noImage,no,high,no,firefox,5,sports
186110,Male,4,no,noImage,yes,high,no,firefox,4.5,sports
200381,Female,3,no,noImage,yes,low,yes,firefox,4,sports
174309,Male,8,no,noImage,no,high,yes,firefox,1,entertainment
78383,Male,6,no,noImage,no,high,no,firefox,4.5,entertainment
211601,Female,2,no,noImage,yes,high,yes,edge,1.5,lifestyle
187728,Female,4,yes,noImage,maybe,high,no,firefox,5,sports
321171,Male,6,no,noImage,no,high,no,firefox,4,entertainment
127921,Male,7,no,blurred,yes,high,no,firefox,5.5,sports
206565,Male,4,no,noImage,yes,high,no,edge,4.5,sports
224563,Male,3,no,noImage,yes,high,yes,firefox,4,sports
178686,Male,5,no,noImage,yes,high,yes,firefox,4,sports
98545,Male,6,no,noImage,no,high,yes,firefox,4,news
242606,Male,5,no,noImage,no,high,no,firefox,4,sports
270942,Male,2,no,noImage,yes,high,no,firefox,4.8,sports
94235,Male,3,no,noImage,yes,high,no,firefox,4,sports
71195,Male,5,no,noImage,yes,high,yes,firefox,6,sports
104112,Male,2,no,noImage,yes,medium,no,edge,3,sports
261192,Male,5,no,noImage,no,high,no,edge,4,sports
94936,Male,3,no,noImage,yes,medium,yes,firefox,4,sports
296478,Male,4,yes,high,no,high,yes,firefox,4,sports
119272,Male,4,yes,high,no,high,no,firefox,4,business
85043,Male,3,no,noImage,yes,high,no,firefox,2,sports
293364,Female,2,no,noImage,yes,high,no,edge,4,business
241895,Male,4,no,noImage,yes,medium,yes,firefox,4.2,entertainment
36135,Male,7,no,noImage,no,high,yes,firefox,0.8,lifestyle
151989,Female,3,no,noImage,yes,high,yes,firefox,4,lifestyle
101128,Male,6,no,noImage,yes,high,yes,firefox,2.5,sports
156464,Male,3,no,noImage,yes,high,yes,firefox,2.5,sports
117963,Male,3,yes,noImage,no,low,yes,firefox,4,sports
192262,Male,3,no,noImage,no,high,no,firefox,4,sports
111363,Male,3,yes,noImage,no,low,yes,firefox,4,sports
329752,Male,5,no,noImage,no,high,yes,firefox,3,news
372020,Male,6,yes,noImage,no,high,yes,firefox,4,lifestyle
95432,Male,4,yes,noImage,no,high,no,firefox,4,business
161400,Male,7,no,noImage,yes,high,yes,chrome,4,sports
96129,Male,4,yes,noImage,no,medium,yes,firefox,4,sports
111949,Female,4,no,noImage,maybe,high,no,firefox,3.5,sports
117125,Male,3,no,noImage,no,high,yes,firefox,4,entertainment
348022,Female,4,no,noImage,maybe,high,yes,firefox,2.4,sports
270092,Male,6,yes,noImage,no,high,yes,firefox,4,sports
180609,Male,4,no,noImage,no,high,yes,firefox,4.5,sports
174575,Male,4,yes,noImage,yes,low,yes,firefox,4.5,sports
410439,Male,2,no,noImage,yes,medium,no,firefox,5.5,sports
92262,Male,3,no,noImage,no,high,no,firefox,4,sports
183081,Male,6,no,noImage,no,medium,no,firefox,4.5,entertainment
362589,Female,2,no,noImage,yes,medium,yes,firefox,1.5,sports
212448,Female,6,yes,noImage,yes,low,yes,firefox,4.5,sports
481060,Female,4,no,noImage,yes,medium,no,firefox,4,sports
185885,Female,3,no,noImage,yes,high,no,firefox,1.5,business
89821,Male,2,no,noImage,yes,high,yes,firefox,1,sports
184018,Male,4,yes,noImage,no,high,yes,firefox,3.8,business
256649,Male,5,no,noImage,no,high,no,edge,4,sports
160323,Male,4,no,noImage,yes,high,no,edge,4,sports
350845,Female,2,no,noImage,yes,high,no,firefox,1,news
267404,Female,3,no,noImage,maybe,high,no,firefox,4,sports
35633,Male,2,no,noImage,yes,medium,no,firefox,4,sports
80914,Male,5,no,noImage,yes,low,yes,firefox,3,entertainment
172927,Male,4,no,noImage,no,medium,no,firefox,5,sports
174319,Male,5,no,noImage,yes,high,no,firefox,4,sports
214955,Female,5,no,noImage,yes,high,no,firefox,4.5,sports
344991,Male,3,no,noImage,no,high,no,firefox,4,sports
108699,Female,5,no,noImage,yes,medium,no,firefox,4,sports
117312,Female,4,no,noImage,maybe,high,no,firefox,4,news
396099,Female,2,no,noImage,yes,high,no,firefox,2.5,sports
134152,Male,3,no,noImage,yes,high,no,firefox,4,sports
162028,Female,4,yes,noImage,maybe,high,no,firefox,0.6,sports
25429,Female,2,no,noImage,yes,high,no,firefox,1.6,sports
232392,Female,2,no,noImage,yes,high,no,firefox,4,sports
220098,Female,4,yes,noImage,maybe,high,no,firefox,4,sports
301302,Male,3,no,noImage,yes,high,yes,firefox,5,sports
277946,Male,5,no,noImage,yes,high,yes,firefox,4,entertainment
98101,Male,3,yes,high,no,low,yes,firefox,4.5,business
196164,Female,3,no,noImage,yes,high,no,firefox,3.5,sports
115562,Male,4,no,noImage,no,medium,no,firefox,4,sports
96975,Female,5,no,noImage,yes,high,no,firefox,4,sports
137300,Female,2,no,noImage,yes,high,no,firefox,3.5,lifestyle
86872,Male,3,yes,noImage,no,low,yes,firefox,5.5,sports
132178,Male,5,yes,noImage,no,low,yes,firefox,5,entertainment
416103,Male,2,no,noImage,yes,high,no,firefox,4,sports
108574,Female,3,no,noImage,yes,high,no,firefox,4,sports
288353,Male,5,yes,noImage,no,high,yes,firefox,4,business
227689,Female,3,no,noImage,yes,medium,yes,firefox,6.4,sports
166481,Male,3,no,noImage,no,high,no,chrome,4,sports
445382,Male,4,yes,noImage,no,low,yes,firefox,6.5,sports
110145,Male,3,no,noImage,no,high,no,firefox,4,sports
317253,Male,5,no,noImage,no,high,no,firefox,2.5,entertainment
123147,Female,3,yes,noImage,maybe,high,no,firefox,4,lifestyle
364657,Male,3,no,noImage,no,low,no,firefox,5,sports
42346,Female,4,no,noImage,yes,high,no,edge,2.4,news
241951,Female,2,no,noImage,yes,high,no,edge,4,sports
118500,Female,3,no,noImage,yes,low,no,firefox,4,sports
188386,Male,5,yes,high,no,low,yes,firefox,6,sports
1033222,Male,3,no,noImage,no,high,no,firefox,4,business
92440,Male,4,yes,noImage,yes,high,no,firefox,5,sports
190762,Male,5,no,noImage,no,high,no,firefox,4,sports
426017,Female,3,no,noImage,yes,high,yes,firefox,1.9,sports
243867,Male,3,no,noImage,yes,high,yes,edge,4,news
240283,Female,3,no,noImage,yes,high,no,firefox,4,business
61777,Male,2,no,noImage,no,medium,no,firefox,3,sports
175024,Male,2,no,blurred,yes,high,yes,firefox,1.8,sports
92003,Female,3,yes,noImage,maybe,low,yes,firefox,4,business
188401,Male,3,no,noImage,yes,high,no,firefox,4,sports
228528,Female,3,no,noImage,yes,high,yes,firefox,3.5,sports
133373,Male,3,no,noImage,no,high,no,firefox,6,sports
255191,Male,4,no,noImage,yes,high,yes,firefox,4,business
204653,Male,2,no,noImage,yes,high,no,firefox,7.2,sports
222289,Male,6,yes,noImage,no,low,no,firefox,4,entertainment
287480,Male,5,no,noImage,no,high,yes,firefox,4,news
107762,Male,8,no,noImage,yes,high,no,firefox,2.4,lifestyle
202521,Male,2,no,noImage,yes,high,yes,firefox,4,lifestyle
204116,Female,4,no,blurred,yes,high,yes,firefox,4,entertainment
29662,Female,3,yes,noImage,maybe,high,yes,firefox,2.5,sports
116358,Male,3,no,noImage,yes,high,no,opera,4,sports
208405,Male,3,yes,noImage,no,high,yes,firefox,5,sports
284843,Male,3,no,blurred,yes,high,no,edge,6,news
117018,Female,3,no,noImage,yes,high,no,firefox,4,news
81281,Male,2,no,noImage,no,high,no,firefox,4,sports
340148,Female,4,no,noImage,maybe,high,no,firefox,4,news
363425,Male,3,no,noImage,yes,high,yes,firefox,4,sports
45857,Female,5,no,noImage,yes,high,no,firefox,2.8,sports
191073,Male,2,no,noImage,yes,high,no,firefox,4,business
116632,Male,4,yes,noImage,no,high,no,firefox,4,sports
405855,Male,3,no,noImage,yes,high,yes,firefox,4,sports
298227,Male,2,no,noImage,yes,medium,no,firefox,3.5,sports
290521,Female,4,no,noImage,yes,low,no,edge,4,sports
